"filename", "language", "C++", "C", "Markdown", "comment", "blank", "total"
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\HoloCubic_AIO.cpp", "C++", 126, 0, 0, 45, 27, 198
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\anniversary.cpp", "C++", 338, 0, 0, 37, 33, 408
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\anniversary.h", "C++", 5, 0, 0, 0, 3, 8
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\anniversary_gui.c", "C", 0, 127, 0, 18, 32, 177
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\anniversary_gui.h", "C++", 30, 0, 0, 0, 9, 39
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\anniversary_ico.c", "C", 0, 165, 0, 0, 4, 169
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\msyhbd_18.c", "C", 0, 1258, 0, 452, 158, 1868
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\msyhbd_22.c", "C", 0, 1720, 0, 651, 158, 2529
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\anniversary\msyhbd_24.c", "C", 0, 1960, 0, 1000, 154, 3114
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\README.md", "Markdown", 0, 0, 9, 0, 6, 15
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\bilibili.cpp", "C++", 233, 0, 0, 15, 21, 269
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\bilibili.h", "C++", 6, 0, 0, 0, 4, 10
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\bilibili_gui.c", "C", 0, 93, 0, 19, 25, 137
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\bilibili_gui.h", "C++", 28, 0, 0, 0, 8, 36
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\bilibili_fans\bilibili_ico.c", "C", 0, 259, 0, 0, 10, 269
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\example.cpp", "C++", 88, 0, 0, 31, 17, 136
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\example.h", "C++", 5, 0, 0, 0, 3, 8
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\example_gui.c", "C", 0, 21, 0, 5, 8, 34
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\example_gui.h", "C++", 26, 0, 0, 0, 9, 35
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\example\example_ico.c", "C", 0, 165, 0, 0, 8, 173
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\ESP32FtpServer.cpp", "C++", 791, 0, 0, 234, 58, 1083
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\ESP32FtpServer.h", "C++", 61, 0, 0, 28, 15, 104
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\ESP32_FTPServer_SD.ino", "C++", 27, 0, 0, 2, 8, 37
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\file_manager.cpp", "C++", 130, 0, 0, 8, 16, 154
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\file_manager.h", "C++", 5, 0, 0, 0, 3, 8
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\file_manager_gui.c", "C", 0, 85, 0, 5, 17, 107
"d:\Workspace\OpenWorkspace\HoloCubic_AIO\HoloCubic_Firmware\src\app\file_manager\file_manager_gui.h", "C++", 29, 0, 0, 1, 9, 39
